subject,mutants,detected_mutants
Angle_getTurn,22,20
ArithmeticUtils_subAndCheck,24,12
BooleanUtils_compare,13,12
BooleanUtils_toBoolean,17,12
Envelope_maxExtent,56,33
FastMathNew_floor,42,23
IntMath_mod,19,15
MathUtil_clamp,11,9
MathUtilsNew_copySignInt,46,27
QueueAr_dequeue,35,5
QueueAr_dequeueAll,33,5
QueueAr_enqueue,32,5
QueueAr_getFront,35,9
QueueAr_makeEmpty,35,6
SimpleMethods_abs,18,17
SimpleMethods_addElementToSet,3,1
SimpleMethods_getMin,7,5
SimpleMethods_incrementNumberAtIndex,0,0
StackAr_makeEmpty,47,0
StackAr_pop,9,2
StackAr_push,9,3
StackAr_top,8,2
StackAr_topAndPop,10,3
composite_addChild,26,2
doublylinkedlistnode_insertRight,7,2
doublylinkedlistnode_remove,7,2
listcomp02_insert_r,17,13
listcomp02_insert_s,17,13
map_count,26,5
map_extend,27,17
map_remove,27,5
maxbag_add,592,84
maxbag_getMax,582,83
maxbag_remove,582,69
minFinder_findMin,0,0
polyupdate_a1,45,37
polyupdate_sm,47,37
ringbuffer_count,61,44
ringbuffer_extend,64,46
ringbuffer_item,64,46
ringbuffer_remove,64,46
ringbuffer_wipeOut,61,44
structure_foo,27,26
structure_setX,26,25
