subject,mutants,detected_mutants
Angle_getTurn,22,20
ArithmeticUtils_subAndCheck,24,6
BooleanUtils_compare,13,12
BooleanUtils_toBoolean,17,16
Envelope_maxExtent,56,33
FastMathNew_floor,42,23
IntMath_mod,19,16
MathUtil_clamp,11,9
MathUtilsNew_copySignInt,46,29
QueueAr_dequeue,35,10
QueueAr_dequeueAll,33,10
QueueAr_enqueue,32,11
QueueAr_getFront,35,11
QueueAr_makeEmpty,35,13
SimpleMethods_abs,18,17
SimpleMethods_addElementToSet,3,0
SimpleMethods_getMin,7,5
SimpleMethods_incrementNumberAtIndex,0,0
StackAr_makeEmpty,47,0
StackAr_pop,9,3
StackAr_push,9,5
StackAr_top,8,5
StackAr_topAndPop,10,5
composite_addChild,26,24
doublylinkedlistnode_insertRight,7,4
doublylinkedlistnode_remove,7,4
listcomp02_insert_r,17,1
listcomp02_insert_s,17,16
map_count,26,19
map_extend,27,19
map_remove,27,18
maxbag_add,592,572
maxbag_getMax,582,1
maxbag_remove,582,562
minFinder_findMin,0,0
polyupdate_a1,45,39
polyupdate_sm,47,39
ringbuffer_count,61,30
ringbuffer_extend,64,33
ringbuffer_item,64,33
ringbuffer_remove,64,33
ringbuffer_wipeOut,61,30
structure_foo,27,26
structure_setX,26,25
