mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,ROR,0,0,0
2,ROR,0,0,0
3,ROR,2,2,0
4,STD,0,0,0
5,ROR,0,0,0
6,ROR,0,0,0
7,ROR,2,2,0
8,ORU,2,2,0
9,ROR,0,0,0
10,ROR,0,0,0
11,ROR,2,2,0
12,COR,0,0,0
13,COR,0,0,0
14,COR,0,0,0
15,COR,2,2,0
16,STD,0,0,0
17,EVR,3,3,0
18,LVR,1,1,0
19,LVR,0,0,0
20,ROR,1,1,0
21,ROR,0,0,0
22,ROR,1,1,0
23,ROR,1,1,0
24,ROR,0,0,0
25,ROR,1,1,0
26,COR,2,2,0
27,COR,1,1,0
28,COR,1,1,0
29,COR,1,1,0
30,STD,1,1,0
31,LVR,0,0,0
32,LVR,0,0,0
33,ROR,2,2,0
34,ROR,0,0,0
35,ROR,0,0,0
36,AOR,2,2,0
37,AOR,1,1,0
38,AOR,1,1,0
39,AOR,2,2,0
40,EVR,3,3,0
41,LVR,0,0,0
42,EVR,3,3,0
